字段名,字段标签,填写说明
mileage,行驶里程,车辆当前的行驶里程数（公里）
modification_items,改装项目,车辆进行的加装或改装项目清单
need_loaner,需要备用车,客户是否需要提供代步车：是/否
need_pickup,需要接送车,客户是否需要上门取送车服务：是/否
need_rescue,需要道路救援,客户是否需要道路救援服务：是/否
need_towing,需要拖车,是否需要安排拖车服务：是/否
noise_condition,异响发生条件,异响出现的具体条件：颠簸路面/转向时/加速时/匀速行驶/特定车速
noise_frequency,异响频率,异响出现的频率：偶发/频繁/持续
noise_location,异响位置,异响发出的位置：前部/后部/左侧/右侧/顶部/底盘
noise_type,异响类型,异响的类型：底盘异响/发动机异响/风噪/胎噪/内饰异响/电机异响
paint_issue_type,漆面问题类型,漆面质量问题的类型：色差/流挂/橘皮/划痕/锈蚀/起泡/脱落
parking_duration,停放时长,车辆停放的时间长度
parking_environment,停车环境,车辆停放的环境：露天/地下车库/室内停车场
passenger_count,车上人数,车辆上的人员数量
phone_model,手机型号,客户使用的手机品牌和型号
plug_in_time,插枪时间,充电枪插入车辆的时间
preferred_store,偏好服务店,客户偏好的4S店或服务网点名称
preliminary_diagnosis,初步判断,客服或技术人员对问题的初步诊断结果
previous_success,之前是否成功,预约充电之前是否成功执行过：是/否
provide_loaner,提供代步车,是否为客户提供代步车：是/否
purchase_date,购车日期,车辆购买的上牌日期
recent_repair,近期维修,近期是否维修过相关部位：是/否
recover_after_restart,重启后恢复,重启系统后问题是否恢复：是/否
recovery_time,恢复时间,系统恢复正常所需的时间
remaining_range,剩余续航里程,车辆当前电量可行驶的里程数（公里）
remarks,客服备注,客服人员填写的补充说明或备注信息
remote_troubleshooting_steps,远程指导步骤,已尝试的远程故障排除操作步骤
repair_duration,维修时长,预计完成维修所需的时间
rescue_arrangement,救援安排,道路救援的具体安排内容
rescue_type,救援类型,客户需要的救援类型：拖车/现场抢修/搭电/送油/换胎
road_condition,路况,故障发生时的道路状况：平坦/颠簸/上坡/下坡/转弯
safety_instructions,安全提示,已告知客户的安全注意事项
scenario_when_occurred,发生场景,故障发生时的车辆状态：充电时/行驶时/静止时/启动时
scheduled_start_time,预约开始时间,预约充电设置的开始时间
service_advisor,服务顾问,负责接待的服务顾问姓名
service_store,服务店,客户预约的服务店名称
set_temp,设置温度,空调设置的目标温度（单位：℃）
soc,当前电量百分比,电池当前剩余电量百分比（%）
soc_when_scheduled,预约时电量,设置预约充电时的电池电量百分比（%）
specified_items,指定项目,客户指定的保养或维修项目清单
speed_when_occurred,发生时车速,故障发生时的车辆行驶速度（km/h）
startup_issue_type,启动问题类型,车辆启动问题的具体表现：无法启动/启动无反应/启动后熄火/启动困难
suggested_parking,建议停车地点,建议客户将车辆停放的位置
system_issue_type,系统问题类型,车机系统问题的类型：卡顿/黑屏/死机/闪退/无响应
transferred_to_tech,转交技术部门,是否已转交技术部门处理：是/否
trigger_operation,触发操作,导致问题出现的具体操作或行为
vehicle_location,车辆位置,车辆当前所在的详细位置描述
vehicle_status,车辆状态,车辆当前的整体状态：可正常行驶/限速行驶/无法行驶/建议停止驾驶
vehicle_status_when_issue,问题发生时车辆状态,问题出现时车辆的状态：行驶中/静止状态/充电中
vehicle_system,车系,车辆的品牌和型号系列
vehicle_type,车辆类型,车辆的动力类型：纯电动/插电混动/燃油
vin_code,车架号,车辆识别代号（VIN码）
warning_light_status,故障灯状态,仪表板故障灯的显示状态：正常/常亮/闪烁/多个灯亮
warning_time,报警时间,故障报警出现的具体时间
weather_condition,天气情况,当前的天气状况：晴天/雨天/雪天/高温天气/寒冷天气
